PID,capital.gain,capital.loss,hours.per.week,native.country,class
P140,0,0,40, United-States, >50K
P141,0,0,40, United-States, <=50K
P142,0,0,40, United-States, <=50K
P143,0,0,30, Mexico, <=50K
P144,0,1564,40, United-States, >50K
P145,0,0,40, United-States, <=50K
P146,0,0,30, United-States, <=50K
P147,0,0,24, United-States, <=50K
P148,0,0,24, United-States, <=50K
P149,0,2179,40, United-States, <=50K
P150,0,0,40, United-States, <=50K
P151,0,0,38, Mexico, <=50K
P152,0,0,40, United-States, <=50K
P153,0,0,40, Philippines, <=50K
P154,0,0,35, United-States, <=50K
P155,0,0,45, United-States, >50K
P156,0,0,46, United-States, <=50K
P157,0,0,40, United-States, <=50K
P158,0,1816,2, United-States, <=50K
P159,0,0,60, United-States, <=50K
P160,0,0,50, United-States, <=50K
P161,0,0,20, United-States, <=50K
P162,0,0,40, United-States, <=50K
P163,0,0,40, United-States, <=50K
P164,0,0,40, England, <=50K
P165,0,0,40, United-States, >50K
P166,0,0,40, Mexico, <=50K
P167,0,0,42, United-States, <=50K
P168,0,0,40, United-States, <=50K
P169,0,0,16, United-States, <=50K
P170,0,0,20, United-States, <=50K
P171,0,1980,40, United-States, <=50K
P172,0,0,40, United-States, <=50K
P173,0,1977,40, United-States, >50K
P174,0,0,50, United-States, <=50K
P175,0,0,40, United-States, >50K
P176,0,0,25, United-States, <=50K
P177,0,0,40, United-States, <=50K
P178,0,0,40, United-States, <=50K
P179,0,0,12, United-States, <=50K
P180,0,0,65, United-States, <=50K
P181,0,0,38, United-States, >50K
P182,0,0,40, United-States, <=50K
P183,0,0,45, United-States, <=50K
P184,0,0,40, Mexico, >50K
P185,0,0,42, United-States, >50K
P186,0,0,40, United-States, <=50K
P187,0,0,40, United-States, <=50K
P188,0,0,50, United-States, <=50K
P189,0,0,50, United-States, <=50K
P190,0,0,1, United-States, >50K
P191,0,0,28, United-States, <=50K
P192,0,0,40, United-States, <=50K
P193,0,0,40, United-States, <=50K
P194,0,0,45, United-States, <=50K
P195,0,0,24, United-States, <=50K
P196,0,0,40, Mexico, <=50K
P197,0,0,40, United-States, <=50K
P198,14084,0,55, United-States, >50K
P199,7298,0,40, United-States, >50K
P200,0,0,40, United-States, <=50K
P201,0,1876,40, United-States, <=50K
P202,0,0,40, Italy, <=50K
P203,0,0,50, United-States, >50K
P204,0,1340,40, United-States, <=50K
P205,0,0,35, United-States, <=50K
P206,0,0,40, United-States, <=50K
P207,7298,0,36, United-States, >50K
P208,0,0,60, United-States, <=50K
P209,15024,0,35, United-States, >50K
P210,0,0,12, United-States, <=50K
P211,0,0,40, United-States, <=50K
P212,0,0,40, United-States, >50K
P213,0,0,40, United-States, <=50K
P214,0,0,40, United-States, <=50K
P215,0,0,40, United-States, >50K
P216,0,0,60, United-States, >50K
P217,0,0,40, United-States, <=50K
P218,0,0,50, Poland, <=50K
P219,0,0,55, United-States, <=50K
P220,0,0,40, United-States, <=50K
P221,0,0,40, United-States, <=50K
P222,0,0,40, United-States, <=50K
P223,0,2206,40, United-States, <=50K
P224,0,0,20, United-States, <=50K
P225,0,0,35, United-States, <=50K
P226,0,0,40, United-States, <=50K
P227,0,0,10, United-States, <=50K
P228,1409,0,50, United-States, <=50K
P229,0,0,20, Columbia, <=50K
P230,0,0,40, United-States, <=50K
P231,3674,0,40, United-States, <=50K
P232,0,0,38, United-States, <=50K
P233,0,0,42, United-States, <=50K
P234,0,0,40, United-States, <=50K
P235,0,0,55, United-States, >50K
P236,0,0,40, United-States, <=50K
P237,0,0,38, United-States, <=50K
P238,0,0,50, Iran, >50K
P239,0,0,70, United-States, >50K
P240,0,0,40, United-States, <=50K
P241,0,0,40, United-States, >50K
P242,0,0,20, United-States, <=50K
P243,0,0,50, United-States, <=50K
P244,0,0,20, United-States, <=50K
P245,0,1741,40, United-States, <=50K
P246,0,0,35,Other, <=50K
P247,0,0,45, United-States, >50K
P248,0,0,34, United-States, <=50K
P249,0,1977,60, United-States, >50K
P250,0,0,40,Other, <=50K
P251,0,0,40, United-States, >50K
P252,0,0,40, United-States, <=50K
P253,0,0,30, United-States, <=50K
P254,0,0,40, United-States, <=50K
P255,0,0,20, United-States, <=50K
P256,0,0,40, Cambodia, >50K
P257,0,0,40, United-States, <=50K
P258,0,0,30, United-States, <=50K
P259,0,0,45, United-States, <=50K
P260,0,0,40, United-States, <=50K
P261,0,0,40, United-States, <=50K
P262,0,0,60, United-States, <=50K
P263,0,0,12, United-States, <=50K
P264,4064,0,40, United-States, <=50K
P265,0,0,40, United-States, <=50K
P266,0,0,75, Thailand, >50K
P267,0,0,24, Canada, <=50K
P268,0,0,40, United-States, >50K
P269,0,0,45, United-States, <=50K
P270,0,0,40, United-States, >50K
P271,0,0,40, United-States, >50K
P272,1055,0,24, United-States, <=50K
P273,2407,0,98, United-States, <=50K
P274,0,0,35, United-States, <=50K
P275,0,0,40, United-States, <=50K
P276,0,0,40, United-States, <=50K
P277,7298,0,40, United-States, >50K
P278,0,0,40, United-States, <=50K
P279,0,0,40, United-States, <=50K
P280,7298,0,48, United-States, >50K
P281,0,0,15, Germany, <=50K
P282,5178,0,40, United-States, >50K
P283,0,0,45, United-States, <=50K
P284,0,0,42, United-States, <=50K
P285,0,0,40, United-States, <=50K
P286,15024,0,40, United-States, >50K
P287,0,0,60, United-States, >50K
P288,0,0,45, United-States, <=50K
P289,0,0,40, United-States, <=50K
P290,0,0,40, Ecuador, <=50K
P291,0,0,45, United-States, <=50K
P292,0,0,40, United-States, <=50K
P293,0,0,56, United-States, <=50K
P294,0,0,45, United-States, <=50K
P295,0,0,40, United-States, <=50K
P296,0,0,16, United-States, <=50K
P297,0,0,60, United-States, <=50K
P298,3464,0,40,Other, <=50K
P299,0,0,40, United-States, <=50K
P300,0,0,80, United-States, <=50K
P301,7688,0,40, United-States, >50K
P302,0,0,25, United-States, <=50K
P303,0,0,45, United-States, >50K
P304,4386,0,40, United-States, >50K
P305,0,0,40, Laos, <=50K
P306,0,0,40, United-States, <=50K
P307,0,0,45, United-States, <=50K
P308,0,0,33, United-States, <=50K
P309,0,0,40, United-States, >50K
P310,0,0,54, United-States, >50K
P311,0,0,40, United-States, <=50K
P312,7298,0,35, Taiwan, >50K
P313,0,0,25, United-States, <=50K
P314,0,0,40, United-States, >50K
P315,0,0,15, United-States, <=50K
P316,0,0,40, United-States, <=50K
P317,0,0,40, United-States, <=50K
P318,0,0,40, Mexico, <=50K
P319,0,0,40, United-States, <=50K
P320,0,0,24, United-States, <=50K
P321,0,0,40, United-States, <=50K
P322,0,1485,50, United-States, <=50K
P323,0,0,45, United-States, <=50K
P324,0,0,40, United-States, <=50K
P325,0,0,10, United-States, <=50K
P326,0,0,45, United-States, <=50K
P327,0,0,15, United-States, <=50K
P328,0,1887,50, United-States, >50K
P329,0,0,40, United-States, <=50K
P330,2050,0,55, United-States, <=50K
P331,0,0,45, United-States, <=50K
P332,0,0,40, United-States, <=50K
P333,0,0,40, United-States, <=50K
P334,0,0,40, United-States, <=50K
P335,0,0,40, United-States, <=50K
P336,0,0,48, Mexico, <=50K
P337,0,0,40, United-States, <=50K
P338,0,0,60, United-States, <=50K
P339,0,0,30, Haiti, <=50K
P340,0,0,40, United-States, <=50K
P341,0,0,40, United-States, <=50K
P342,7298,0,40, United-States, >50K
P343,7298,0,40, United-States, >50K
P344,0,0,20, United-States, <=50K
P345,0,0,40, United-States, <=50K
P346,0,0,42, United-States, <=50K
P347,0,0,8, United-States, <=50K
P348,0,0,40, United-States, <=50K
P349,0,0,25, Iran, <=50K
P350,0,0,25, United-States, <=50K
P351,0,0,40, United-States, >50K
P352,0,0,40, United-States, <=50K
P353,0,0,40, United-States, >50K
P354,0,0,30, United-States, <=50K
P355,0,0,40, United-States, >50K
P356,0,0,40, United-States, >50K
P357,0,0,40, United-States, <=50K
P358,0,0,40, United-States, >50K
P359,0,0,35, United-States, <=50K
P360,0,0,40, Portugal, <=50K
P361,0,0,24, United-States, <=50K
P362,0,0,40, United-States, >50K
P363,0,0,45, United-States, <=50K
P364,0,1564,45, United-States, >50K
P365,0,0,55, United-States, <=50K
P366,0,0,40, United-States, <=50K
P367,0,0,45, United-States, <=50K
P368,0,0,15, United-States, <=50K
P369,0,0,45, United-States, >50K
P370,0,0,40, United-States, <=50K
P371,0,0,15, United-States, <=50K
P372,0,0,10, United-States, <=50K
P373,0,0,38, United-States, >50K
P374,0,0,40, United-States, <=50K
P375,0,0,40, United-States, <=50K
P376,0,0,10, United-States, <=50K
P377,0,0,40, United-States, <=50K
P378,0,0,40, United-States, <=50K
P379,0,0,30, United-States, <=50K
P380,0,0,50, United-States, <=50K
P381,0,0,40, United-States, <=50K
P382,0,2339,45, United-States, <=50K
P383,0,0,40, United-States, <=50K
P384,0,0,40, United-States, <=50K
P385,0,0,40, United-States, <=50K
P386,0,0,25, United-States, <=50K
P387,0,0,40, United-States, <=50K
P388,0,2415,6, United-States, >50K
P389,0,0,16, United-States, <=50K
P390,0,0,40, United-States, <=50K
P391,0,0,40, United-States, >50K
P392,0,0,50, United-States, <=50K
P393,0,0,40, United-States, <=50K
P394,7688,0,45,Other, >50K
P395,0,0,35, United-States, <=50K
P396,0,0,40, United-States, <=50K
P397,0,0,40, United-States, <=50K
P398,0,0,35, United-States, <=50K
P399,0,0,55, United-States, >50K
P400,0,0,50, United-States, >50K
P401,0,0,40, United-States, <=50K
P402,0,0,40, United-States, <=50K
P403,0,0,40, United-States, >50K
P404,0,0,64, United-States, <=50K
P405,0,2179,40, Puerto-Rico, <=50K
P406,0,1977,65, United-States, >50K
P407,0,0,40, United-States, <=50K
P408,0,0,25, United-States, <=50K
P409,0,1887,40, United-States, >50K
P410,0,0,50, United-States, <=50K
P411,0,0,24, United-States, <=50K
P412,0,0,40, United-States, <=50K
P413,0,0,40, United-States, <=50K
P414,15024,0,60, United-States, >50K
P415,0,0,40, United-States, <=50K
P416,0,0,50, United-States, >50K
P417,0,0,40, Mexico, <=50K
P418,0,0,19, United-States, <=50K
P419,0,0,40, United-States, <=50K
P420,0,0,40, United-States, <=50K
P421,0,0,30, United-States, <=50K
P422,2176,0,18, United-States, <=50K
P423,0,0,40, United-States, >50K
P424,0,0,40, United-States, <=50K
P425,0,0,35, United-States, <=50K
P426,0,0,60, United-States, <=50K
P427,0,1408,40, United-States, <=50K
P428,0,0,72, Dominican-Republic, <=50K
P429,0,0,40, United-States, >50K
P430,0,0,40, United-States, <=50K
P431,0,0,24, United-States, <=50K
P432,0,0,40, United-States, <=50K
P433,2174,0,40, United-States, <=50K
P434,0,0,25, United-States, >50K
P435,0,1980,40, Philippines, <=50K
P436,0,0,50, United-States, >50K
P437,594,0,60, United-States, <=50K
P438,0,0,40, United-States, <=50K
P439,0,0,40, United-States, <=50K
P440,0,0,40, United-States, <=50K
P441,0,0,40, United-States, <=50K
P442,0,0,28, United-States, <=50K
P443,0,0,40, United-States, <=50K
P444,0,0,40, United-States, >50K
P445,0,0,40, Mexico, <=50K
P446,0,0,35, United-States, <=50K
P447,0,0,40, United-States, <=50K
P448,0,0,40, United-States, <=50K
P449,0,0,40, United-States, <=50K
P450,0,0,5, United-States, <=50K
P451,0,0,40, United-States, <=50K
P452,0,0,55, United-States, >50K
P453,0,0,40, United-States, >50K
P454,0,0,40,Other, >50K
P455,0,0,40, United-States, >50K
P456,0,0,40, United-States, >50K
P457,0,0,40, United-States, <=50K
P458,0,0,50, United-States, <=50K
P459,0,0,60, United-States, <=50K
P460,0,0,40, United-States, <=50K
P461,0,0,40, United-States, <=50K
P462,0,0,40, United-States, <=50K
P463,0,0,50, United-States, <=50K
P464,0,0,40, United-States, <=50K
P465,0,0,20, United-States, <=50K
P466,0,0,60, United-States, <=50K
P467,0,0,40, United-States, <=50K
P468,0,0,40, United-States, <=50K
P469,0,1977,45, United-States, >50K
P470,0,0,16, United-States, >50K
P471,0,0,40, United-States, >50K
P472,0,0,40, United-States, <=50K
P473,0,0,40, United-States, <=50K
P474,0,0,60, United-States, <=50K
P475,0,0,24, United-States, <=50K
P476,0,0,40, United-States, <=50K
P477,0,0,6, United-States, <=50K
P478,0,0,30, United-States, <=50K
P479,0,0,40, United-States, <=50K
P480,0,0,35, United-States, <=50K
P481,0,0,45, Portugal, <=50K
P482,0,0,20, United-States, <=50K
P483,0,0,20, United-States, <=50K
P484,0,0,40, United-States, <=50K
P485,594,0,40, United-States, <=50K
P486,0,0,20, United-States, <=50K
P487,0,0,35, United-States, <=50K
P488,0,0,45, United-States, <=50K
P489,0,0,40, United-States, <=50K
P490,15024,0,60, United-States, >50K
P491,0,0,35, United-States, <=50K
P492,0,0,40, United-States, <=50K
P493,0,0,60, United-States, <=50K
P494,0,0,25, United-States, <=50K
P495,0,0,20, United-States, <=50K
P496,0,0,36, United-States, <=50K
P497,0,0,40, United-States, <=50K
P498,0,0,40, El-Salvador, <=50K
P499,0,0,35, United-States, <=50K
P500,0,0,20, United-States, <=50K
P501,0,0,40, Poland, <=50K
P502,0,0,40, United-States, <=50K
P503,0,0,40, United-States, <=50K
P504,0,0,42, France, <=50K
P505,0,0,40, United-States, <=50K
P506,0,0,40, United-States, <=50K
P507,0,0,8, United-States, <=50K
P508,0,0,40, United-States, <=50K
P509,0,0,40, United-States, <=50K
P510,0,0,40, United-States, <=50K
P511,0,1380,42, United-States, <=50K
P512,0,0,30, United-States, <=50K
P513,0,0,45, United-States, <=50K
P514,0,0,50, United-States, >50K
P515,0,0,45, United-States, <=50K
P516,0,0,38, United-States, <=50K
P517,0,0,20, United-States, <=50K
P518,0,0,24, United-States, <=50K
P519,0,0,35, United-States, <=50K
P520,0,0,50, United-States, >50K
P521,15024,0,80, United-States, >50K
P522,7688,0,50, United-States, >50K
P523,0,0,50, United-States, <=50K
P524,0,0,45, United-States, >50K
P525,0,0,58, United-States, >50K
P526,0,0,40, United-States, <=50K
P527,0,0,40, United-States, >50K
P528,0,0,9, United-States, <=50K
P529,0,0,50, United-States, <=50K
P530,0,0,40, United-States, <=50K
P531,0,0,46, Puerto-Rico, <=50K
P532,0,0,40, United-States, <=50K
P533,0,0,40, United-States, <=50K
P534,0,0,50, United-States, >50K
P535,20051,0,48, United-States, >50K
P536,0,0,50, United-States, <=50K
P537,0,0,30, United-States, <=50K
P538,0,0,40, United-States, <=50K
P539,0,0,45, United-States, <=50K
P540,0,0,40, United-States, <=50K
P541,0,0,40, United-States, <=50K
P542,0,0,40, United-States, <=50K
P543,0,0,40, United-States, <=50K
P544,0,0,40, United-States, <=50K
P545,0,0,50, United-States, <=50K
P546,0,0,45, United-States, <=50K
P547,0,0,8, United-States, <=50K
P548,0,0,40, United-States, <=50K
P549,0,0,36, United-States, <=50K
P550,0,0,40, United-States, <=50K
P551,0,0,50, United-States, <=50K
P552,0,0,40, United-States, <=50K
P553,0,0,40, United-States, <=50K
P554,0,0,40, United-States, <=50K
P555,0,0,40, United-States, >50K
P556,0,0,40, United-States, <=50K
P557,0,0,40, United-States, <=50K
P558,0,0,20,Other, <=50K
P559,0,0,32, United-States, <=50K
P560,0,0,40, Mexico, <=50K
P561,0,0,55, United-States, <=50K
P562,0,0,35, United-States, >50K
P563,0,0,50, United-States, >50K
P564,0,0,40, United-States, <=50K
P565,0,0,60, United-States, >50K
P566,0,0,48, United-States, <=50K
P567,5013,0,45, United-States, <=50K
P568,0,0,40, Mexico, <=50K
P569,0,0,35, United-States, <=50K
P570,0,0,42, United-States, <=50K
P571,0,0,40, United-States, <=50K
P572,0,0,40, United-States, <=50K
P573,0,0,12, United-States, <=50K
P574,0,1977,40, United-States, >50K
P575,0,0,70, United-States, <=50K
P576,0,0,40, United-States, >50K
P577,0,0,25, United-States, <=50K
P578,0,0,35, United-States, <=50K
P579,0,0,40, United-States, <=50K
P580,0,0,45, United-States, <=50K
P581,0,0,30, United-States, >50K
P582,0,0,40, United-States, >50K
P583,0,0,40, United-States, <=50K
P584,0,0,40, United-States, <=50K
P585,0,0,40, United-States, <=50K
P586,0,0,24, United-States, <=50K
P587,0,0,60, United-States, <=50K
P588,0,0,40, United-States, <=50K
P589,0,1887,47, United-States, >50K
P590,0,0,80, United-States, <=50K
P591,0,0,40, United-States, <=50K
P592,0,0,40, United-States, <=50K
P593,0,0,48, United-States, >50K
P594,7688,0,40, Canada, >50K
P595,0,0,40, United-States, <=50K
P596,0,0,40, United-States, <=50K
P597,0,0,25, United-States, <=50K
P598,0,1902,50, United-States, >50K
P599,2174,0,40, United-States, <=50K
P600,0,0,45, United-States, <=50K
P601,0,0,40, United-States, <=50K
P602,0,0,28, United-States, <=50K
P603,0,0,40, United-States, <=50K
P604,0,0,40, United-States, <=50K
P605,0,0,40, United-States, <=50K
P606,0,0,37, United-States, <=50K
P607,0,0,40, United-States, >50K
P608,0,0,40, United-States, <=50K
P609,0,0,40, United-States, <=50K
P610,0,0,21, United-States, <=50K
P611,6849,0,60, United-States, <=50K
P612,0,0,40, United-States, <=50K
P613,0,0,50, United-States, <=50K
P614,1055,0,40, United-States, <=50K
P615,0,0,20, United-States, <=50K
P616,0,0,60, United-States, <=50K
P617,0,0,45, United-States, <=50K
P618,0,0,32, United-States, <=50K
P619,0,0,55, United-States, <=50K
P620,15024,0,45, United-States, >50K
P621,0,0,20, United-States, <=50K
P622,0,0,20, United-States, <=50K
P623,0,0,24, United-States, <=50K
P624,0,0,55, United-States, <=50K
P625,0,0,40, El-Salvador, <=50K
P626,0,0,60, United-States, <=50K
P627,0,0,45, United-States, >50K
P628,0,0,64, United-States, <=50K
P629,0,0,40, United-States, >50K
P630,0,0,26, United-States, >50K
P631,0,0,40, United-States, <=50K
P632,0,0,40, United-States, <=50K
P633,15024,0,60, United-States, >50K
P634,0,0,40, United-States, >50K
P635,0,0,60, United-States, <=50K
P636,0,0,14, United-States, <=50K
P637,0,0,40, United-States, <=50K
P638,15024,0,60, United-States, >50K
P639,0,0,50, Cuba, <=50K
P640,0,0,60, United-States, >50K
P641,0,0,55, United-States, <=50K
P642,0,0,40, United-States, <=50K
P643,0,0,40, United-States, <=50K
P644,5178,0,50, United-States, >50K
P645,0,0,45, United-States, <=50K
P646,0,0,40, United-States, >50K
P647,0,0,40, United-States, <=50K
P648,0,0,15, United-States, <=50K
P649,0,0,50, United-States, <=50K
P650,0,0,40, United-States, >50K
P651,0,0,20, United-States, <=50K
P652,4101,0,50, United-States, <=50K
P653,0,0,40, Taiwan, >50K
P654,0,0,45, United-States, <=50K
P655,0,0,32, United-States, <=50K
P656,0,0,40, Philippines, <=50K
P657,1111,0,15, United-States, <=50K
P658,0,0,45, United-States, <=50K
P659,0,0,35, United-States, <=50K
P660,0,0,40, United-States, >50K
P661,0,0,40, United-States, >50K
P662,0,0,60, United-States, <=50K
P663,0,0,40, United-States, <=50K
P664,0,0,38, United-States, <=50K
P665,0,0,25, United-States, <=50K
P666,8614,0,40, United-States, >50K
P667,3411,0,40, United-States, <=50K
P668,0,0,40, United-States, >50K
P669,0,1762,40, South, <=50K
P670,0,1721,40, United-States, <=50K
P671,0,0,40, United-States, <=50K
P672,0,0,20, United-States, <=50K
P673,0,0,10, United-States, <=50K
P674,0,0,40, United-States, >50K
P675,0,0,50, United-States, >50K
P676,2597,0,40, United-States, <=50K
P677,0,0,16, United-States, <=50K
P678,0,0,40, Mexico, <=50K
P679,0,0,45, United-States, <=50K
P680,0,0,50, United-States, <=50K
P681,0,0,48, United-States, <=50K
P682,0,0,40, Portugal, >50K
P683,0,0,40, United-States, >50K
P684,0,0,40, United-States, <=50K
P685,0,0,5, United-States, <=50K
P686,0,0,40, United-States, <=50K
P687,0,0,4, United-States, <=50K
P688,0,0,55, United-States, <=50K
P689,0,0,35, Dominican-Republic, <=50K
P690,0,0,30, United-States, <=50K
P691,0,0,40, United-States, <=50K
P692,0,0,45, United-States, <=50K
P693,0,0,50, United-States, <=50K
P694,0,0,20, United-States, <=50K
P695,0,0,20, United-States, <=50K
P696,0,0,45, United-States, <=50K
P697,0,0,60, United-States, >50K
P698,0,1902,40, United-States, >50K
P699,0,0,40, Poland, <=50K
P700,0,0,20, United-States, <=50K
P701,0,0,50, United-States, <=50K
P702,0,1380,40, Cuba, <=50K
P703,0,0,30, United-States, <=50K
P704,0,0,40, United-States, <=50K
P705,25236,0,65, United-States, >50K
P706,0,0,50, United-States, >50K
P707,0,0,40, Jamaica, <=50K
P708,0,0,40, United-States, <=50K
P709,0,0,35, United-States, <=50K
P710,0,0,25, United-States, <=50K
P711,0,0,40, United-States, <=50K
P712,0,0,40, United-States, <=50K
P713,0,0,40,Other, <=50K
P714,4386,0,40, United-States, <=50K
P715,0,0,35, Honduras, <=50K
P716,0,0,40, United-States, <=50K
P717,0,0,40, United-States, <=50K
P718,0,0,40, United-States, <=50K
P719,0,0,15, United-States, <=50K
P720,0,0,45, United-States, >50K
P721,0,0,40, United-States, <=50K
P722,0,2051,60, United-States, <=50K
P723,4650,0,40, United-States, <=50K
P724,0,0,42, United-States, >50K
P725,7298,0,45, United-States, >50K
P726,0,0,40,Other, >50K
P727,0,0,40, United-States, <=50K
P728,0,0,20, United-States, <=50K
P729,0,0,40, Mexico, <=50K
P730,9386,0,59,Other, >50K
P731,0,0,24, United-States, <=50K
P732,0,0,40, United-States, <=50K
P733,0,2377,45, United-States, <=50K
P734,0,0,15, United-States, <=50K
P735,0,0,40, United-States, <=50K
P736,2407,0,40, United-States, <=50K
P737,0,0,36, United-States, <=50K
P738,0,0,50, United-States, <=50K
P739,594,0,20, United-States, <=50K
P740,0,0,40, United-States, >50K
P741,0,0,25, United-States, <=50K
P742,0,0,72, United-States, <=50K
P743,14084,0,50, United-States, >50K
P744,0,0,40, United-States, <=50K
P745,0,0,20, United-States, <=50K
P746,0,0,40, United-States, >50K
P747,7688,0,40, United-States, >50K
P748,0,0,40, United-States, <=50K
P749,0,0,40, Haiti, <=50K
P750,0,0,37, United-States, <=50K
P751,7688,0,40, United-States, >50K
P752,0,0,20, United-States, <=50K
P753,0,0,40, United-States, <=50K
P754,0,0,50, United-States, <=50K
P755,0,0,40, United-States, <=50K
P756,0,0,38, United-States, <=50K
P757,0,0,40, United-States, >50K
P758,0,0,45, United-States, <=50K
P759,0,0,40, United-States, >50K
P760,0,0,40, United-States, <=50K
P761,0,0,18, United-States, <=50K
P762,0,0,38, United-States, >50K
P763,0,0,40, Portugal, <=50K
P764,0,0,70, United-States, >50K
P765,0,0,55, United-States, >50K
P766,0,0,42, United-States, <=50K
P767,0,0,40, United-States, <=50K
P768,0,0,30, Germany, <=50K
P769,0,0,50, United-States, <=50K
P770,0,0,40, United-States, <=50K
P771,0,0,38, United-States, <=50K
P772,0,0,32, Guatemala, <=50K
P773,0,0,55, United-States, <=50K
P774,0,0,24, United-States, >50K
P775,0,0,38, United-States, <=50K
